"","vapourpres_h09","time"
"709",11.1201171875,1981-12-09
"710",10.1103515625,1981-12-10
"711",17.9697265625,1981-12-11
"712",13.1396484375,1981-12-12
"713",7.25,1981-12-13
"714",7.66015625,1981-12-14
"715",8.509765625,1981-12-15
"716",5.25,1981-12-16
"717",12.4697265625,1981-12-17
"718",10.98046875,1981-12-18
"719",10.41015625,1981-12-19
"720",9.240234375,1981-12-20
"721",10,1981-12-21
"722",11.7998046875,1981-12-22
"723",11.7197265625,1981-12-23
"724",12.509765625,1981-12-24
"725",11.169921875,1981-12-25
"726",12.9697265625,1981-12-26
"727",12.2001953125,1981-12-27
"728",9.419921875,1981-12-28
"729",10.9296875,1981-12-29
"730",6.76953125,1981-12-30
"731",13.1396484375,1981-12-31
"732",11.3974609375,1982-01-01
"733",11.7666015625,1982-01-02
"734",10.9873046875,1982-01-03
"735",10.6171875,1982-01-04
"736",7.0673828125,1982-01-05
"737",18.0068359375,1982-01-06
"738",11.4365234375,1982-01-07
"739",12.52734375,1982-01-08
"740",14.0166015625,1982-01-09
"741",10.1474609375,1982-01-10
"742",9.037109375,1982-01-11
"743",17.806640625,1982-01-12
"744",10.9765625,1982-01-13
"745",10.197265625,1982-01-14
"746",8.197265625,1982-01-15
"747",8.5869140625,1982-01-16
"748",9.1171875,1982-01-17
"749",8.056640625,1982-01-18
"750",9.1171875,1982-01-19
"751",12.537109375,1982-01-20
"752",14.88671875,1982-01-21
"753",14.3173828125,1982-01-22
"754",16.947265625,1982-01-23
"755",20.1669921875,1982-01-24
"756",18.046875,1982-01-25
"757",11.9267578125,1982-01-26
"758",10.4873046875,1982-01-27
"759",11.4267578125,1982-01-28
"760",13.1865234375,1982-01-29
"761",13.4365234375,1982-01-30
"762",13.5771484375,1982-01-31
"763",12.4619140625,1982-02-01
"764",11.7919921875,1982-02-02
"765",9.662109375,1982-02-03
"766",12.341796875,1982-02-04
"767",7.912109375,1982-02-05
"768",5.751953125,1982-02-06
"769",8.76171875,1982-02-07
"770",10.5615234375,1982-02-08
"771",14.3916015625,1982-02-09
"772",14.181640625,1982-02-10
"773",15.251953125,1982-02-11
"774",17.7216796875,1982-02-12
"775",20.01171875,1982-02-13
"776",22.15234375,1982-02-14
"777",25.431640625,1982-02-15
"778",15.8623046875,1982-02-16
"779",11.482421875,1982-02-17
"780",10.4423828125,1982-02-18
"781",9.341796875,1982-02-19
"782",16.322265625,1982-02-20
"783",11.251953125,1982-02-21
"784",13.572265625,1982-02-22
"785",16.4619140625,1982-02-23
"786",13.181640625,1982-02-24
"787",12.072265625,1982-02-25
"788",12.3017578125,1982-02-26
"789",10.1123046875,1982-02-27
"790",9.431640625,1982-02-28
"791",9.7802734375,1982-03-01
"792",11.7802734375,1982-03-02
"793",9.4501953125,1982-03-03
"794",9.08984375,1982-03-04
"795",12.7998046875,1982-03-05
"796",11.91015625,1982-03-06
"797",13.5703125,1982-03-07
"798",18.6904296875,1982-03-08
"799",9.7099609375,1982-03-09
"800",9.8701171875,1982-03-10
"801",13.509765625,1982-03-11
"802",13.9697265625,1982-03-12
"803",14.7001953125,1982-03-13
"804",13.9296875,1982-03-14
"805",13.009765625,1982-03-15
"806",13.58984375,1982-03-16
"807",16.25,1982-03-17
"808",13.2197265625,1982-03-18
"809",12.2900390625,1982-03-19
"810",14.169921875,1982-03-20
"811",17.669921875,1982-03-21
"812",16.6396484375,1982-03-22
"813",13.8603515625,1982-03-23
"814",10.1103515625,1982-03-24
"815",10.7099609375,1982-03-25
"816",11.98046875,1982-03-26
"817",11,1982-03-27
"818",13.2998046875,1982-03-28
"819",13.3896484375,1982-03-29
"820",11.2900390625,1982-03-30
"821",11.509765625,1982-03-31
"822",10.2373046875,1982-04-01
"823",11.966796875,1982-04-02
"824",12.6572265625,1982-04-03
"825",9.2568359375,1982-04-04
"826",9.0966796875,1982-04-05
"827",10.2373046875,1982-04-06
"828",11.716796875,1982-04-07
"829",10.2666015625,1982-04-08
"830",10.0771484375,1982-04-09
"831",10.376953125,1982-04-10
"832",10.0673828125,1982-04-11
"833",8.27734375,1982-04-12
"834",7.966796875,1982-04-13
"835",14.046875,1982-04-14
"836",10.306640625,1982-04-15
