"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","grass","shrub","tree","vegetation_type"
"119","NTAFIN0011",0,0,0.666666666666667,0,0,0,3.7,0,0,0,12.6333333333333,0,0,0,16.2333333333333,0,0,0,1.26666666666667,13.4666666666667,0.0333333333333333,29.8,16.9333333333333,1.26666666666667,"grass"
"120","NTAFIN0012",0,0,6.3,0,0,0,1.3,0,0,0,0,0,0,5,0,0,0,0,0,35.5,0,41.8,6.3,0,"grass"
"121","NTAFIN0013",0,0,2.1,0,0,0,1.6,0,0,0,0,0,0,0.1,7.9,0,0,0,24.1,6.8,0.5,8.5,10.5,24.1,"tree"
"122","NTAFIN0014",0,0,0.9,0,0.1,0,0.6,0,0,0,25.9,0,0,0,1.7,0,0,0,6.7,11.2,0,37.7,2.6,6.7,"grass"
"123","NTAFIN0015",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1,0,0,0,31.1,12.6,0,13.6,3.1,31.1,"tree"
"124","NTAFIN0016",0,0,4,0,0,0,0.4,0,0,0,0,0,0,0,0.1,0,0,0,0,25.6,0,26,4.1,0,"grass"
"125","NTAFIN0017",0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,12.2,23.3,0,23.7,0,12.2,"grass"
"126","NTAFIN0018",0,0,5.3,0,0,0,0.2,0,0,0,0,0,0,0,19,0,0,0,0.1,9.7,0,9.9,24.3,0.1,"shrub"
"127","NTAFIN0019",0,0,1.8,0,0.1,0,1,0,0,0,0,0,0,0,2.4,0,0,0,11.2,42.7,0,43.7,4.2,11.2,"grass"
"128","NTAFIN0020",0,0,0.1,0,0,0,1.9,0,0,0,16.7,0,0,0,0.1,0,0,0,7.4,28.4,0,47,0.2,7.4,"grass"
"129","NTAFIN0021",0,0,4.2,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,7.5,0,7.8,4.5,0,"grass"
"130","NTAFIN0022",0,0,0.2,0,0,0,1.9,0,0,0,0,0,0,0,16.5,0,0,0,0,8.8,0,10.7,16.7,0,"shrub"
"131","NTAFIN0023",0,0,0.8,0,0.3,0,0,0,0,0,25.3,0,0,0,4.9,0,0,10.1,0,3.7,0,29,5.7,10.1,"grass"
"132","NTAFIN0024",0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,12.9,1.4,0,1.4,12,12.9,"tree"
"133","NTAFIN0025",0,0,1.8,0,0,0,0.7,0,0,0,0,0,0,1.5,12.3,0,0,0,0,20.2,0,22.4,14.1,0,"grass"
"134","NTAFIN0026",0,0,1.6,0,0,0,6.7,0,0,0,0,0,0,0,18.9,0,0,0,0.2,26.7,0,33.4,20.5,0.2,"grass"
