"","X","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter","pv_filter_percentile","npv_filter_percentile","bs_filter_percentile"
"104",107,"NTABRT0002-58862",43.9,41.3,14.9,0,0,"NTABRT0002","2020-07-31","2020-07-30",12.7186453252611,50.7649995128634,35.3326694590187,0.526510480887793,0.262638717632552,0.689272503082614
"105",108,"NTABRT0003-53618",54.8,30.6,14.7,0,0,"NTABRT0003","2012-03-22","2012-04-03",14.6215783700282,54.768317853449,29.5430306277785,0.636591478696742,0.74812030075188,0.334586466165414
"106",109,"NTABRT0003-58872",42.8,44.4,12.8,0.1,0,"NTABRT0003","2020-08-01","2020-07-30",11.8012629649405,51.9996504907214,34.9204129814514,0.472431077694236,0.416040100250627,0.609022556390977
"107",110,"NTABRT0004-53619",46.5,31.4,22.1,0,0,"NTABRT0004","2012-03-23","2012-04-03",18.0204051674436,51.7323332454533,29.0738652248233,0.787491593813046,0.909213180901143,0.123066577000673
"108",111,"NTABRT0004-58873",26.6,53.6,19.5,0.3,0,"NTABRT0004","2020-08-08","2020-08-07",13.6136180933887,46.4874103292912,38.6170259377021,0.605917955615333,0.540013449899126,0.450571620712845
"109",112,"NTABRT0005-53620",44,19.4,36.6,NA,4,"NTABRT0005","2012-03-24","2012-03-27",18.2179777527865,42.9996557108437,37.313994466891,0.824086603518268,0.843707713125846,0.0920162381596752
"110",113,"NTABRT0005-58863",27,15.1,57.8,NA,4,"NTABRT0005","2020-08-02","2020-07-31",19.0188166621249,20.6108684061048,58.6149790616995,0.848443843031123,0.10148849797023,0.742219215155616
"111",114,"NTABRT0006-53621",38.8,43.6,17.6,NA,4,"NTABRT0006","2012-03-24","2012-04-03",19.2858656823024,49.6747212539708,29.683465038569,0.813478556841389,0.785568413886998,0.175629680054459
"112",115,"NTABRT0006-58864",36.5,49.3,14.2,NA,4,"NTABRT0006","2020-08-08","2020-08-07",12.1911693926441,50.0902399894228,36.3436273538267,0.520762423417291,0.818924438393465,0.353982300884956
"113",116,"NTABRT0007-58865",17.6,38.7,43.7,NA,4,"NTABRT0007","2020-08-07","2020-08-07",11.234876449658,39.0016896158479,48.178813317738,0.464069845533915,0.490933512424446,0.509066487575554
"114",117,"NTABRT0008-58866",15.6,37.9,46.2,0.2,0,"NTABRT0008","2020-08-09","2020-08-07",8.30077388596288,36.6879711253332,53.4196545571832,0.187902187902188,0.221364221364221,0.926640926640927
"115",118,"NTADAC0001-53518",58.4,41.2,0.4,NA,4,"NTADAC0001","2013-05-28","2013-05-29",46.0634849326731,48.6608355524692,4.17147781698803,0.417789757412399,0.857142857142857,0.277628032345013
"116",119,"NTADAC0002-58039",66,24.6,9.2,0.2,0,"NTADAC0002","2016-05-06","2016-05-06",60.827748886811,34.3372880988929,3.32593777739239,0.853808353808354,0.235872235872236,0.201474201474201
"117",120,"NTADMR0001-58868",24,30.7,45.2,0.1,0,"NTADMR0001","2020-08-03","2020-07-31",12.7678005840434,33.2527461611368,52.3231955623974,0.351441241685144,0.0332594235033259,0.926829268292683
"118",121,"NTADMR0002-58869",22.7,15.6,61,0.7,0,"NTADMR0002","2020-08-04","2020-08-07",4.33506489640326,33.3510954989233,60.66054282404,0.191489361702128,0.351063829787234,0.76720901126408
"119",122,"NTAFIN0001-53519",7.4,53.3,39.3,0,0,"NTAFIN0001","2011-10-20","2011-10-19",0,69.8268339259354,30.142777372262,0.00702576112412178,0.98711943793911,0.0386416861826698
"120",123,"NTAFIN0001-58009",12.2,43.4,44.4,0.1,0,"NTAFIN0001","2016-03-04","2016-02-27",6.75676190221064,28.0549992956868,63.4134922434486,0.414519906323185,0.441451990632318,0.641686182669789
"121",124,"NTAFIN0001-58735",17,24.9,57.6,0.5,0,"NTAFIN0001","2019-05-26","2019-05-26",7.84568910543322,18.1312565073514,72.2869937384958,0.532786885245902,0.161592505854801,0.840749414519906
"122",125,"NTAFIN0002-53622",75.1,19.2,5.6,0,0,"NTAFIN0002","2011-09-23","2011-09-17",12.07831654929,70.0443718960361,16.4610148740437,0.132905591200733,1,0.0229147571035747
"123",126,"NTAFIN0002-58018",44.9,40.5,14.7,0,0,"NTAFIN0002","2016-03-05","2016-03-05",18.724964933272,43.03809701181,36.7763163635259,0.660861594867094,0.385884509624198,0.565536205316224
"124",127,"NTAFIN0002-58787",43.5,42.5,14,0.1,0,"NTAFIN0002","2019-05-28","2019-05-10",16.6067166404695,49.764676693719,32.2930262119496,0.514207149404216,0.753437213565536,0.32813932172319
"125",128,"NTAFIN0003-53623",21.3,10.1,68.6,0,0,"NTAFIN0003","2011-09-24","2011-09-17",15.4448137964523,35.599086699329,47.6833019405704,0.807506053268765,0.443099273607748,0.311138014527845
"126",129,"NTAFIN0003-58017",22.2,22.4,55.4,0,0,"NTAFIN0003","2016-03-04","2016-02-27",12.8901063023644,39.0805715646524,46.4704107038403,0.582324455205811,0.585956416464891,0.222760290556901
"127",130,"NTAFIN0003-58788",29.5,22.1,48.3,0.1,0,"NTAFIN0003","2019-05-25","2019-05-25",9.82581383013125,45.3108770486412,43.4534567754162,0.301452784503632,0.934624697336562,0.0750605326876513
