Label SW,site_location_name,site_location_id,established_date,point,latitude,longitude,threedcq,,,,
NSAMDD0012,NSAMDD0012,60220,3/06/2014,SW,-33.26316111,141.2662444,837,,,,
,NSAMDD0013,60243,6/06/2014,CENTRE,-33.23714167,141.107,354,,,,
,NSAMDD0013,60243,6/06/2014,NE,-33.23676389,141.1075222,55,,,,
,NSAMDD0013,60243,6/06/2014,NW,-33.23675,141.1064583,248,,,,
,NSAMDD0013,60243,6/06/2014,SE,-33.23765556,141.1075333,69,,,,
NSAMDD0013,NSAMDD0013,60243,6/06/2014,SW,-33.23765278,141.1064667,586,,,,
,NSAMDD0014,60225,4/06/2014,CENTRE,-33.16748056,141.1923361,924,,,,
,NSAMDD0014,60225,4/06/2014,NE,-33.16703889,141.1928889,88,,,,
,NSAMDD0014,60225,4/06/2014,NW,-33.16703889,141.1918167,260,,,,
,NSAMDD0014,60225,4/06/2014,SE,-33.16794444,141.1928889,805,,,,
NSAMDD0014,NSAMDD0014,60225,4/06/2014,SW,-33.16793889,141.1918167,427,,,,
,NSAMDD0015,60241,5/06/2014,CENTRE,-33.31129722,141.0905667,1.501,,,,
,NSAMDD0015,60241,5/06/2014,NE,-33.31091667,141.0911333,1.086,,,,
,NSAMDD0015,60241,5/06/2014,NW,-33.31093333,141.0900694,1.377,,,,
,NSAMDD0015,60241,5/06/2014,SE,-33.311825,141.0911389,0.964,,,,
NSAMDD0015,NSAMDD0015,60241,5/06/2014,SW,-33.31182222,141.0900639,1.03,,,,
,NSAMDD0016,60237,5/06/2014,CENTRE,-33.28183333,141.09035,0.738,,,,
,NSAMDD0016,60237,5/06/2014,NE,-33.28139444,141.0908833,0.726,,,,
,NSAMDD0016,60237,5/06/2014,NW,-33.28139167,141.0898083,0.69,,,,
,NSAMDD0016,60237,5/06/2014,SE,-33.28229444,141.0908833,0.824,,,,
NSAMDD0016,NSAMDD0016,60237,5/06/2014,SW,-33.28228889,141.0898083,0.733,,,,
,NSAMDD0017,60326,6/08/2014,CENTRE,-33.66838056,145.5668806,1.311,,,,
,NSAMDD0017,60326,6/08/2014,NE,-33.66786389,145.5674611,1.177,,,,
,NSAMDD0017,60326,6/08/2014,NW,-33.66785833,145.5663889,1.839,,,,
,NSAMDD0017,60326,6/08/2014,SE,-33.66876667,145.5674583,1.261,,,,
NSAMDD0017,NSAMDD0017,60326,6/08/2014,SW,-33.66876389,145.5663833,0.923,,,,
,NSAMDD0018,60239,6/08/2014,CENTRE,-33.566791,145.784551,,,,,
,NSAMDD0018,60239,6/08/2014,NE,-33.56635278,145.7850694,134,,,,
,NSAMDD0018,60239,6/08/2014,NW,-33.56634444,145.7840139,757,,,,
,NSAMDD0018,60239,6/08/2014,SE,-33.56723611,145.7850806,794,,,,
NSAMDD0018,NSAMDD0018,60239,6/08/2014,SW,-33.56723333,145.7840083,210,,,,
,NSAMDD0019,60327,7/08/2014,CENTRE,-33.19169722,145.6999083,1.404,,,,
,NSAMDD0019,60327,7/08/2014,NE,-33.19124444,145.7004417,1.263,,,,
,NSAMDD0019,60327,7/08/2014,NW,-33.19125,145.6993694,2.758,,,,
,NSAMDD0019,60327,7/08/2014,SE,-33.19214444,145.7004417,1.077,,,,
NSAMDD0019,NSAMDD0019,60327,7/08/2014,SW,-33.19214722,145.6993694,1.103,,,,
,NSAMDD0020,60244,7/08/2014,CENTRE,-33.20632222,145.7091028,547,,,,
,NSAMDD0020,60244,7/08/2014,NE,-33.2059,145.7096361,557,,,,
,NSAMDD0020,60244,7/08/2014,NW,-33.20589167,145.7085694,909,,,,
,NSAMDD0020,60244,7/08/2014,SE,-33.20679444,145.7096361,973,,,,
NSAMDD0020,NSAMDD0020,60244,7/08/2014,SW,-33.20680278,145.7085583,949,,,,
,NSAMDD0021,60328,8/08/2014,CENTRE,-33.20038056,145.7177278,7.398,,,,
,NSAMDD0021,60328,8/08/2014,NE,-33.19993333,145.7182556,6.237,,,,
,NSAMDD0021,60328,8/08/2014,NW,-33.19993056,145.7171833,6.03,,,,
,NSAMDD0021,60328,8/08/2014,SE,-33.20083611,145.7182611,5.981,,,,
NSAMDD0021,NSAMDD0021,60328,8/08/2014,SW,-33.20083611,145.7171861,1.249,,,,
,NSAMDD0022,60245,9/08/2014,CENTRE,-33.22474722,145.7606972,85,,,,
,NSAMDD0022,60245,9/08/2014,NE,-33.22429722,145.7612472,41,,,,
,NSAMDD0022,60245,9/08/2014,NW,-33.22431389,145.7601639,909,,,,
,NSAMDD0022,60245,9/08/2014,SE,-33.22522778,145.7612556,941,,,,
NSAMDD0022,NSAMDD0022,60245,9/08/2014,SW,-33.22522222,145.7601722,142,,,,
,NSAMDD0023,60329,10/08/2014,CENTRE,-32.689775,144.6503194,0.821,,,,
,NSAMDD0023,60329,10/08/2014,NE,-32.68928611,144.6508417,2.96,,,,
,NSAMDD0023,60329,10/08/2014,NW,-32.68930278,144.6497806,7.937,,,,
,NSAMDD0023,60329,10/08/2014,SE,-32.69020833,144.6508472,1.435,,,,
NSAMDD0023,NSAMDD0023,60329,10/08/2014,SW,-32.69009167,144.6497778,2.164,,,,
,NSAMDD0024,60246,10/08/2014,CENTRE,-32.68175833,144.6279972,18,,,,
,NSAMDD0024,60246,10/08/2014,NE,-32.68130556,144.628525,803,,,,
,NSAMDD0024,60246,10/08/2014,NW,-32.68130278,144.6274639,421,,,,
